DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO POBLADO,LATITUD,LONGITUD,NMI1,NMI2
AMAZONAS,BAGUA,ARAMANGO,EL MUYO (C.P.L.),-5.422545,-78.45299,311,1206
AMAZONAS,BAGUA,ARAMANGO,RESERVA UJUCANO,-5.427565,-78.444372,44,129
AMAZONAS,BAGUA,ARAMANGO,TUTUMBEROS,-5.327317,-78.44472,49,179
AMAZONAS,BAGUA,BAGUA,ALENYA BAJO,-5.682439,-78.495229,3,8
AMAZONAS,BONGARA,CUISPES,MITOPAMPA,-5.93856,-77.965302,1,4
AMAZONAS,BONGARA,JAZAN,NUEVA ESPERANZA,-5.935482,-77.976755,4,15
AMAZONAS,BONGARA,JAZAN,PEDRO RUIZ GALLO,-5.941387,-77.977098,1365,5361
AMAZONAS,BONGARA,JAZAN,PEDRO RUIZ,-5.94069,-77.97635,2,7
AMAZONAS,BONGARA,JAZAN,SAN JERONIMO,-5.95036,-77.97886,3,6
AMAZONAS,BONGARA,JAZAN,SANTA ROSA,-5.932149,-77.972108,1,5
AMAZONAS,BONGARA,JAZAN,SEÑOR DE GUALAMITA,-5.935217,-77.974682,11,36
AMAZONAS,BONGARA,JAZAN,VILLA ERNESTINA,-5.934992,-77.977918,0,0
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,ALCAPARROSA,-6.982368,-77.932555,1,4
AMAZONAS,UTCUBAMBA,CAJARURO,NARANJITOS,-5.814901,-78.277449,177,577
AMAZONAS,UTCUBAMBA,CUMBA,AGUA AZUL,-5.969275,-78.619398,1,1
AMAZONAS,UTCUBAMBA,CUMBA,CHALA,-5.973545,-78.633153,1,6
AMAZONAS,UTCUBAMBA,CUMBA,PUERTO CHOROS,-5.894283,-78.687223,1,4
AMAZONAS,UTCUBAMBA,CUMBA,TAGTAGO,-5.981024,-78.630186,202,562
AMAZONAS,UTCUBAMBA,EL MILAGRO,PAPAYA BAJA (PARCIALIDAD),-5.560332,-78.570703,15,33
AMAZONAS,UTCUBAMBA,JAMALCA,PUERTO NARANJITOS,-5.82154,-78.275662,102,360
AMAZONAS,UTCUBAMBA,LONYA GRANDE,ARCURCO,-6.101007,-78.417463,0,0
AMAZONAS,UTCUBAMBA,LONYA GRANDE,BOLIVIA,-6.101328,-78.427833,1,3
AMAZONAS,UTCUBAMBA,LONYA GRANDE,LONYA GRANDE,-6.096373,-78.422516,698,2896
AMAZONAS,UTCUBAMBA,LONYA GRANDE,MANCARRON,-6.096585,-78.428543,2,4
AMAZONAS,UTCUBAMBA,LONYA GRANDE,MATULI,-6.106335,-78.416907,1,1
ANCASH,ANTONIO RAYMONDI,ACZO,MARNE,-9.170022,-76.960563,2,7
ANCASH,ANTONIO RAYMONDI,ACZO,PUSHCA (PUSHKA),-9.166743,-76.960517,1,1
ANCASH,BOLOGNESI,ANTONIO RAYMONDI,CHAMANA,-10.204873,-77.556638,20,76
ANCASH,BOLOGNESI,CHIQUIAN,MESAPAMPA,-10.14106,-77.25302,5,15
ANCASH,BOLOGNESI,COLQUIOC,LLAMA RUMI,-10.237933,-77.568218,34,139
ANCASH,BOLOGNESI,HUALLANCA,CAJUN PUQUIO(CAJON PUQUIO),-9.891118,-76.947935,1,2
ANCASH,BOLOGNESI,HUALLANCA,HUALLANCA,-9.89946,-76.941805,1138,5064
ANCASH,CARHUAZ,ANTA,ICHIK HUACRAN,-9.335968,-77.617961,2,4
ANCASH,CARHUAZ,ANTA,LUCMA,-9.340442,-77.602058,11,41
ANCASH,CARHUAZ,ANTA,PIÑIURAN,-9.335448,-77.603627,35,108
ANCASH,CARHUAZ,ANTA,TRANCAPAMPA,-9.334875,-77.617245,46,160
ANCASH,CARHUAZ,MARCARA,HUASHCAR,-9.334195,-77.619963,31,103
ANCASH,CARHUAZ,MARCARA,PUENTE - NUEVA FLORIDA,-9.331207,-77.604138,27,100
ANCASH,CARHUAZ,PARIAHUANCA,BELLAVISTA,-9.363447,-77.570888,23,79
ANCASH,CARHUAZ,PARIAHUANCA,ICHIC AHUAC,-9.370518,-77.567633,10,35
ANCASH,CARHUAZ,PARIAHUANCA,INDEPENDENCIA,-9.360408,-77.579388,19,63
ANCASH,CARHUAZ,PARIAHUANCA,PARIAHUANCA,-9.365146,-77.580846,191,624
ANCASH,CARHUAZ,PARIAHUANCA,PUMPUC,-9.3615,-77.58679,16,46
ANCASH,CARHUAZ,PARIAHUANCA,SAN ISIDRO,-9.365168,-77.572123,30,82
ANCASH,CARHUAZ,PARIAHUANCA,SAN MARTIN,-9.36652,-77.573995,21,69
ANCASH,CARHUAZ,PARIAHUANCA,VIRGEN DEL CARMEN,-9.367005,-77.576615,26,87
ANCASH,CARHUAZ,PARIAHUNCA,PARIAHUANCA,-9.365146,-77.580846,191,624
ANCASH,CARHUAZ,SAN MIGUEL DE ACO,ACO,-9.36831,-77.564365,105,386
ANCASH,CARHUAZ,SAN MIGUEL DE ACO,ACO,-9.37001,-77.55944,5,17
ANCASH,CARHUAZ,SAN MIGUEL DE ACO,SAN ANTONIO,-9.365323,-77.558493,38,111
ANCASH,CARHUAZ,TINCO,PAMPAC,-9.264677,-77.674533,104,378
ANCASH,CASMA,BUENA VISTA ALTA,BUENA VISTA ALTA,-9.432502,-78.206817,116,359
ANCASH,CASMA,BUENA VISTA ALTA,HEROES DEL CENEPA-BUENA VISTA BAJA,-9.440415,-78.210577,359,1151
ANCASH,CASMA,BUENA VISTA ALTA,TUCUSHUANCA,-9.392632,-78.192338,2,4
ANCASH,CASMA,CASMA,NIVIN,-9.53928,-78.140234,5,8
ANCASH,CASMA,CASMA,PORTADA ALTA,-9.54531,-78.13189,0,0
ANCASH,CASMA,YAUTAN,CACHIPAMPA BAJA,-9.516521,-78.05194,240,863
ANCASH,CASMA,YAUTAN,CACHIPAMPA BAJA,-9.517547,-78.055592,32,99
ANCASH,CASMA,YAUTAN,CRUZ PUNTA,-9.51257,-78.06033,1,2
ANCASH,CASMA,YAUTAN,JAIHUA ALTA,-9.531342,-78.072337,116,405
ANCASH,CASMA,YAUTAN,JAIHUA BAJA,-9.52925,-78.076603,41,147
ANCASH,CASMA,YAUTAN,LA HOYADA ALTA,-9.53694,-78.078972,8,21
ANCASH,CASMA,YAUTAN,LA HOYADA BAJA,-9.530733,-78.082602,33,109
ANCASH,CASMA,YAUTAN,MUÑA,-9.515087,-78.058253,29,111
ANCASH,CASMA,YAUTAN,MUÑA,-9.515087,-78.058253,29,111
ANCASH,HUARAZ,COCHABAMBA,ALLPAQUITA,-9.463057,-77.827767,5,14
ANCASH,HUARAZ,COCHABAMBA,CARHUAC,-9.458563,-77.828353,4,9
ANCASH,HUARAZ,COCHABAMBA,NULLHUE,-9.459722,-77.825937,12,36
ANCASH,HUARAZ,COCHABAMBA,PACHE,-9.464762,-77.825515,10,28
ANCASH,HUARAZ,COCHABAMBA,PALLAC,-9.463138,-77.819933,6,14
ANCASH,HUARAZ,COCHABAMBA,TAYACOTO,-9.459892,-77.822395,4,13
ANCASH,HUARAZ,COCHABAMBA,USHNO,-9.464708,-77.828365,1,4
ANCASH,HUARAZ,COCHABAMBA,YAMTAC,-9.468373,-77.830397,2,11
ANCASH,HUARAZ,HUARAZ,BELLA VISTA,-9.543621,-77.519159,4,16
ANCASH,HUARAZ,HUARAZ,CHICORURI,-9.536538,-77.535464,7,20
ANCASH,HUARAZ,HUARAZ,HUACAPAMPA,-9.54062,-77.53554,7,42
ANCASH,HUARAZ,HUARAZ,QUERAR,-9.552607,-77.515956,1,4
ANCASH,HUARAZ,HUARAZ,SHAURAMA,-9.545517,-77.527528,1,1
ANCASH,HUARAZ,INDEPENDENCIA,CARIANPAMPA,-9.447413,-77.542585,41,150
ANCASH,HUARAZ,INDEPENDENCIA,CHURAP,-9.451822,-77.530777,56,199
ANCASH,HUARAZ,INDEPENDENCIA,ORCON,-9.445876,-77.537599,8,20
ANCASH,HUARAZ,INDEPENDENCIA,SANTA ROSA,-9.456838,-77.538868,70,268
ANCASH,HUARAZ,INDEPENDENCIA,SANTA ROSA,-9.456838,-77.538868,70,268
ANCASH,HUARAZ,JANGAS,HUAYPISHKA,-9.39606,-77.58009,3,7
ANCASH,HUARAZ,PAMPAS,CHUNCHIN,-9.657127,-77.830553,1,2
ANCASH,HUARAZ,PAMPAS,MATARA,-9.659635,-77.822707,27,74
ANCASH,HUARAZ,PAMPAS,PAMPAS GRANDE,-9.655206,-77.825988,124,332
ANCASH,HUARAZ,PAMPAS,QUELLEACANAN,-9.651948,-77.836348,0,0
ANCASH,HUARAZ,PAMPAS,SIGLO CRUZ,-9.656203,-77.824035,1,3
ANCASH,HUARAZ,PAMPAS,TUCLLU PAMPA,-9.66481,-77.823037,0,0
ANCASH,HUARAZ,PARIACOTO,RACRAO ALTO,-9.538512,-77.901082,11,25
ANCASH,HUARAZ,PARIACOTO,RACRAO BAJO,-9.542058,-77.904938,27,70
ANCASH,HUARAZ,PARIACOTO,SAN CRISTOBAL DE RACRAO,-9.539528,-77.90691,10,24
ANCASH,HUARAZ,TARICA,ANCUSHA,-9.425523,-77.549735,5,13
ANCASH,HUARAZ,TARICA,BUENOS AIRES DE KARIRAC,-9.430168,-77.541832,92,302
ANCASH,HUARAZ,TARICA,HUANCAPU,-9.428508,-77.546205,31,84
ANCASH,HUARAZ,TARICA,HUANJA CHICO,-9.423468,-77.545445,11,28
ANCASH,HUARAZ,TARICA,MALLQUI,-9.39194,-77.56968,0,0
ANCASH,HUARAZ,TARICA,PAMPAHUAIN,-9.417687,-77.550402,12,33
ANCASH,HUARAZ,TARICA,SAN ANTONIO,-9.389497,-77.564208,10,35
ANCASH,HUARAZ,TARICA,TARA,-9.4215,-77.551475,7,20
ANCASH,HUARAZ,TARICA,TARICA,-9.393582,-77.575046,392,1419
ANCASH,HUARAZ,TARICA,UCHUYACU,-9.426267,-77.552062,73,243
ANCASH,HUARI,CHAVIN DE HUANTAR,CHAVIN DE HUANTAR,-9.588503,-77.178408,622,2384
ANCASH,HUARI,CHAVIN DE HUANTAR,LA FLORIDA,-9.595427,-77.180512,8,21
ANCASH,HUARI,CHAVIN DE HUANTAR,SHAYAPA,-9.588063,-77.179347,3,12
ANCASH,HUARI,HUARI,POMACHACA,-9.39357,-77.142633,12,28
ANCASH,HUARI,MASIN,MITUBAMBA,-9.351225,-77.079333,4,11
ANCASH,HUARI,MASIN,HUAYTUNA,-9.359442,-77.081418,58,181
ANCASH,HUARI,MASIN,MITUBAMBA,-9.351225,-77.079333,4,11
ANCASH,HUARI,MASIN,POMACHACA,-9.392602,-77.138648,15,38
ANCASH,HUARI,RAHUAPAMPA,RAHUAPAMPA,-9.359254,-77.078653,114,496
ANCASH,HUARI,SAN MARCOS,CARHUAYOC,-9.528527,-77.127203,346,1167
ANCASH,HUARI,SAN MARCOS,CARMEN ROSA,-9.58737,-77.174348,44,174
ANCASH,HUARI,SAN MARCOS,GAUCHO,-9.592382,-77.175117,65,203
ANCASH,HUARI,SAN MARCOS,MARIASH,-9.59641,-77.175897,9,25
ANCASH,HUARI,UCO,AUYO,-9.17762,-76.953993,3,12
ANCASH,HUARI,UCO,LUCMA,-9.176573,-76.950515,5,6
ANCASH,HUARI,UCO,PUCHCA,-9.171367,-76.960645,32,132
ANCASH,HUARI,UCO,PUCUZ,-9.173183,-76.946692,3,3
ANCASH,HUARI,UCO,PUCUZ,-9.173183,-76.976692,3,3
